country,city,location,userId,distance
CH,Rothenburg,Rümlang,55303fc3160ba0eb728b4575,175
CH,Sissach,Sissach,552e7b61c66da10d1e8b4c82,138
CH,Bâle,Bâle,54a584ecc56da128638b4674,137
CA,Montréal,Berne,54c92738076ea1b5338b4735,77.3
DE,Rastatt,Rastatt,54e1a6f6c76da135748b4a3a,286
DE,Titisee-Neustadt,Titisee-Neustadt,54f2b4ce0b6ea1177e8b4d18,194
DE,Stuttgart,Stuttgart,54ecbb39170ba08b488b4aa5,318
DE,Eisenhüttenstadt,Bad Krozingen,54fc1786170ba041758b4577,175
CH,Gstaad,Steffisburg,550c8310066ea13f808b4b35,81.4
DE,Stuttgart,Stuttgart,53745af3150ba023158b4588,315
FR,Bad Bellingen,Bad Bellingen,53eb2d41ea6da1bb178b4aa0,148
CH,Basel,Liestal,5501ff6bcc6da1e21e8b45b5,136
DE,Neu-Ulm,Holzheim,54fa217d190ba0a1618b4668,333
CH,Zürich,Zürich,54ce9b6d170ba0c7548b4bef,171
DE,Emmendingen,Hinterzarten,500aef252d15de2d6f00046e,190
CH,Rifferswil,Rifferswil,54e238cdcb6da1706f8b4b44,163
DE,Pulheim,Pulheim,53d7e6c8170ba055398b54ea,499
DE,Müllheim,Mülheim,552e5bbd066ea1933e8b490b,162
CH,Utzenstorf,Utzenstorf,55146fb7ea6da11d158b463a,95.8
CH,Zweisimmen,Blankenburg,503cbfc7ca61bea1590000bf,57.8
CH,Härkingen,Härkingen,52dd7bd9c56da1966f61cfd3,125
CH,Bâle,Basel,550f31ca1c0ba0785b8b4a90,137
CH,Marbach,Marbach (LU),550db26a086ea18e4f8b4678,103
DE,Maulburg,Maulburg,54b8170ae96da129508b4b1a,152
US,New York,Untersiggenthal,525aaeb8190ba0d743a9b637,164
CH,Luzern,Emmen,54ad5e03190ba0cb108b45d0,142
CH,Oftringen,Winznau,55336759076ea11d208b483c,136
CH,Radelfingen bei Aarberg,Lyss,5411f8c8180ba0184a8b4aac,79.9
DE,Lörrach,Lörrach,552aa2c1ea6da1bd358b4851,144
CH,Frauenfeld,Opfikon,550c6869160ba0f7318b4771,177
CH,Erlinsbach,Erlinsbach (AG),552025c01c0ba01e1b8b4588,143
CH,Wetzikon,Uster,5465e30f170ba051228b4c6b,183
CH,Zug,Zug,5522e5cfca6da1791c8b4688,162
CH,Emmenbrücke,Emmen,527629ff1a0ba0b97008fc9b,138
CH,Olten,Rothrist,55388b1bca6da1d50b8b4a45,128
CH,Lyssach,Bern,54a47c42086ea12b6b8b528c,76.9
CH,Langenthal,Kriens,553157bec76da13a558b4bb3,138
DE,"Lörrach (Baden-Württemberg, Germany)",Lörrach,54df3f03180ba0542a8b47fd,144
CH,Olten,Aarau,548c21261a0ba0a85a8b4866,144
CH,Oberwil (BL),Basel,550b3d02c66da1485a8b477d,135
CH,Kriens,Luzern,53c84ea3cb6da1dd7e8b4d55,139
CH,Wallisellen,Baltenswil,54b245ed160ba0a9278b4a68,183
CH,Luzern,Luzern,5415813d150ba0d05b8b4e38,141
CH,Niederhünigen,Konolfingen,552a69160a6ea1e18f8b4dd4,0
CH,La Chaux-de-Fonds,La Chaux-de-Fonds,5534e4a40b6ea1ff618b4f0d,0
CH,Hirschthal,Schöftland,552b6669c46da13a788b4796,139
DE,Grenzach-Wyhlen,Grenzach-Wyhlen,54c81d650b6ea1749c8b4bf6,139
DE,Stuttgart,Laichingen,54ea86211a0ba0da638b474a,318
CH,Sursee,Sursee,53afe904170ba0505c8b4688,133
CH,Prangins,Gland,537f7e26cb6da1571c8b8024,29.9
DE,Laufenburg (Baden),Laufenburg (Baden),54119f6d160ba008118b503f,161
CH,Zurich,Zürich,551e85620a6ea1268d8b4d54,0
